,l_i (Lower Bound),m_i (Middle Value),u_i (Upper Bound),w_i (Defuzzified Weight),Normalized Weight (W),,,,,,,,,,,,
Criticality of Impact,0.131847506,0.161146952,0.196957386,0.163317281,0.161146952,,,,,,,,,,,,
Security and Privacy Concerns,0.11344909,0.138659999,0.169473332,0.140527474,0.138659999,,,,,,,,,,,,
Technological Feasibility,0.10150027,0.124055886,0.151623861,0.125726672,0.124055886,,,,,,,,,,,,
Ethical and Legal Challenges,0.095980969,0.117310073,0.143378978,0.118890007,0.117310073,,,,,,,,,,,,
Inclusivity and Accessibility,0.085422014,0.104404683,0.127605724,0.105810807,0.104404683,,,,,,,,,,,,
Cost of Implementation,0.068132366,0.083272892,0.101777979,0.084394412,0.083272892,,,,,,,,,,,,
Scalability,0.067913736,0.083005677,0.101451383,0.084123599,0.083005677,,,,,,,,,,,,
User Adoption and Acceptance,0.050142209,0.061284922,0.074903794,0.062110308,0.061284922,,,,,,,,,,,,
Potential for Innovation,0.039728264,0.048556767,0.059347159,0.04921073,0.048556767,,,,,,,,,,,,
Risk of Misuse,0.032754401,0.040033156,0.048929413,0.040572324,0.040033156,,,,,,,,,,,,
Regulatory and Compliance Complexity,0.022115132,0.027029606,0.033036186,0.027393641,0.027029606,,,,,,,,,,,,
Sustainability,0.009195862,0.011239386,0.013737028,0.011390759,0.011239386,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,l_i (Lower Bound),m_i (Middle Value),u_i (Upper Bound),w_i (Defuzzified Weight)
,,,,,,,,,,,,,Criticality of Impact,0.131847506,0.161146952,0.196957386,0.163317281
,,,,,,,,,,,,,Security and Privacy Concerns,0.11344909,0.138659999,0.169473332,0.140527474
,,,,,,,,,,,,,Technological Feasibility,0.10150027,0.124055886,0.151623861,0.125726672
,,,,,,,,,,,,,Ethical and Legal Challenges,0.095980969,0.117310073,0.143378978,0.118890007
,,,,,,,,,,,,,Inclusivity and Accessibility,0.085422014,0.104404683,0.127605724,0.105810807
,,,,,,,,,,,,,Cost of Implementation,0.068132366,0.083272892,0.101777979,0.084394412
,,,,,,,,,,,,,Scalability,0.067913736,0.083005677,0.101451383,0.084123599
,,,,,,,,,,,,,User Adoption and Acceptance,0.050142209,0.061284922,0.074903794,0.062110308
,,,,,,,,,,,,,Potential for Innovation,0.039728264,0.048556767,0.059347159,0.04921073
,,,,,,,,,,,,,Risk of Misuse,0.032754401,0.040033156,0.048929413,0.040572324
,,,,,,,,,,,,,Regulatory and Compliance Complexity,0.022115132,0.027029606,0.033036186,0.027393641
,,,,,,,,,,,,,Sustainability,0.009195862,0.011239386,0.013737028,0.011390759
